id,order_time,count,bus_id,actual_pay,actual_gain,status,pickup_node,dropoff_node
337,2023-12-18 17:16,1,B03260D,3.0,3.0,1,17,40
338,2023-12-18 17:17,1,B07821D,3.0,3.0,1,42,21
339,2023-12-18 17:17,1,B03635D,0.1,0.020000000000000004,0,8,1
340,2023-12-18 17:18,1,B03260D,3.0,0.0,0,6,23
341,2023-12-18 17:19,1,B03260D,3.0,3.0,1,7,3
342,2023-12-18 17:19,1,B07821D,3.0,3.0,1,40,21
343,2023-12-18 17:20,1,B03260D,3.0,0.6000000000000001,0,1,52
344,2023-12-18 17:20,1,B03635D,1.8,0.3600000000000001,0,54,1
345,2023-12-18 17:20,1,B06527D,3.0,0.6000000000000001,0,43,36
346,2023-12-18 17:20,1,0,3.0,0.0,0,47,16
347,2023-12-18 17:20,1,B03635D,1.3,0.0,0,54,58
348,2023-12-18 17:20,1,B03635D,1.1,0.0,0,54,14
349,2023-12-18 17:20,1,B07821D,0.1,0.020000000000000004,0,3,16
350,2023-12-18 17:23,1,B06527D,3.0,3.0,1,1,11
351,2023-12-18 17:23,1,0,3.0,0.0,0,47,16
352,2023-12-18 17:24,1,B03635D,3.0,0.0,0,42,39
353,2023-12-18 17:24,1,B07821D,1.6,0.0,0,1,21
354,2023-12-18 17:25,1,0,3.0,0.0,0,1,65
355,2023-12-18 17:25,1,B01526D,3.0,3.0,1,3,60
356,2023-12-18 17:25,1,B07821D,3.0,3.0,1,6,3
357,2023-12-18 17:25,1,B03635D,1.5,0.0,0,54,1
358,2023-12-18 17:26,1,0,3.0,0.0,0,45,1
359,2023-12-18 17:26,2,0,6.0,0.0,0,12,34
360,2023-12-18 17:26,2,B01575D,6.0,0.0,0,63,23
361,2023-12-18 17:26,1,0,3.0,0.0,0,15,27
362,2023-12-18 17:26,1,0,3.0,0.0,0,1,65
363,2023-12-18 17:26,1,B03635D,0.1,0.0,0,46,1
364,2023-12-18 17:28,1,B06527D,3.0,0.0,0,1,52
365,2023-12-18 17:28,1,0,3.0,0.0,0,17,1
366,2023-12-18 17:29,2,0,6.0,0.0,0,12,34
367,2023-12-18 17:30,1,0,3.0,0.0,0,45,1
368,2023-12-18 17:31,1,B07821D,1.5,1.5,1,3,16
369,2023-12-18 17:32,1,0,3.0,0.0,0,7,1
370,2023-12-18 17:32,1,0,2.0,0.0,0,9,15
371,2023-12-18 17:34,1,B06252D,0.1,0.1,1,63,8
372,2023-12-18 17:35,1,B01526D,3.0,0.0,0,17,1
373,2023-12-18 17:36,1,0,3.0,0.0,0,13,28
374,2023-12-18 17:37,1,B03260D,3.0,0.0,0,1,16
375,2023-12-18 17:39,1,B07821D,3.0,0.6000000000000001,0,2,39
376,2023-12-18 17:39,1,B03635D,3.0,0.0,0,42,39
377,2023-12-18 17:40,1,B03260D,2.0,0.0,0,9,15
378,2023-12-18 17:40,1,0,3.0,0.0,0,20,52
379,2023-12-18 17:41,1,B03635D,3.0,3.0,1,45,15
380,2023-12-18 17:42,1,B03635D,1.5,0.30000000000000004,0,9,1
381,2023-12-18 17:42,1,B06252D,0.1,0.1,1,44,3
382,2023-12-18 17:42,1,B06252D,3.0,0.6000000000000001,0,55,35
383,2023-12-18 17:43,1,0,3.0,0.0,0,54,14
384,2023-12-18 17:43,1,0,3.0,0.0,0,11,1
385,2023-12-18 17:43,1,B03635D,3.0,3.0,1,43,1
386,2023-12-18 17:45,1,B03635D,1.2,0.24,0,54,1
387,2023-12-18 17:46,1,0,3.0,0.0,0,3,38
388,2023-12-18 17:46,1,B06527D,1.9,0.0,0,54,3
389,2023-12-18 17:46,1,B01526D,3.0,0.6000000000000001,0,17,1
390,2023-12-18 17:46,1,B07821D,3.0,0.6000000000000001,0,54,14
391,2023-12-18 17:48,1,B01526D,3.0,3.0,1,3,36
392,2023-12-18 17:49,1,B01526D,3.0,3.0,1,3,38
393,2023-12-18 17:49,1,B03260D,3.0,3.0,1,7,1
394,2023-12-18 17:50,1,B03260D,3.0,0.6000000000000001,0,1,48
395,2023-12-18 17:51,1,B07821D,1.3,0.0,0,17,15
396,2023-12-18 17:52,1,B06527D,3.0,3.0,1,7,40
397,2023-12-18 17:52,1,0,3.0,0.0,0,40,48
398,2023-12-18 17:52,1,B01575D,3.0,0.0,0,1,12
399,2023-12-18 17:53,1,0,3.0,0.0,0,45,17
400,2023-12-18 17:53,1,0,3.0,0.0,0,45,1
401,2023-12-18 17:54,1,B03260D,3.0,0.0,0,1,23
402,2023-12-18 17:54,1,B03635D,3.0,0.0,0,15,63
403,2023-12-18 17:54,1,B03635D,3.0,0.0,0,15,21
